縣市別,園數總數,公立園數,公立專設園數,分班園數,園長總數,公立,教師總數,公立教師數,教保員總數,公立教保員數,助理教保員總數,公立助理教保員數,服務人員總數,公立服務人員總數,職員總數,公立職員總數,幼生總數,公立幼生,年度
新北市,1082,244,26,54,799,26,1802,1269,4534,809,534,7,0,0,2426,534,77229,23618,106
臺北市,682,149,14,0,528,14,1976,1234,2288,247,167,0,0,0,1821,326,50079,18412,106
桃園市,524,131,15,59,368,13,994,418,2730,467,314,13,0,0,1618,316,47794,10273,106
臺中市,664,164,22,71,494,20,1485,658,3962,677,534,14,0,0,1933,440,72269,15226,106
臺南市,526,184,17,28,329,15,1165,548,2197,327,304,4,0,0,1092,112,43250,10444,106
高雄市,669,212,12,3,437,9,1543,804,2857,327,327,4,0,0,1486,289,54095,12336,106
宜蘭縣,106,56,12,20,57,8,205,142,657,313,71,16,0,0,350,130,10247,5210,106
新竹縣,218,62,14,17,156,8,352,144,894,141,123,1,0,0,727,117,14995,2974,106
苗栗縣,173,66,9,7,106,7,247,121,660,147,46,2,0,0,428,112,11018,2802,106
彰化縣,321,73,25,59,246,15,345,162,1729,506,159,28,0,0,769,266,25336,8203,106
南投縣,174,99,10,13,76,8,233,190,589,226,45,6,0,0,343,158,9873,4185,106
雲林縣,129,47,20,20,85,16,192,72,818,416,71,23,0,0,498,232,13080,5818,106
嘉義縣,141,85,13,14,58,6,240,157,477,217,56,18,0,0,350,181,8490,3863,106
屏東縣,269,125,19,27,150,13,329,226,914,264,92,21,2,0,461,184,14616,5298,106
臺東縣,117,94,14,50,31,10,215,187,218,148,23,9,0,0,215,132,4510,2886,106
花蓮縣,130,85,10,7,46,5,168,112,404,226,41,10,0,0,210,130,6772,3632,106
澎湖縣,23,18,4,4,6,3,34,33,107,71,11,8,0,0,96,65,1685,1140,106
基隆市,102,41,3,5,62,3,207,184,313,61,33,1,0,0,268,75,6451,2856,106
新竹市,160,28,1,0,132,1,421,162,620,51,96,3,0,0,433,42,12544,2403,106
嘉義市,71,15,2,0,56,2,192,101,322,29,38,0,0,0,177,34,6220,1595,106
金門縣,24,19,1,2,6,1,109,109,86,72,5,0,0,0,48,41,1936,1759,106
連江縣,5,5,0,0,0,0,23,23,11,11,0,0,0,0,9,9,292,292,106
